,Epoch number,Dataset,Parameter,Result
0,0,Train dataset,Loss,0.1534237099564783
1,0,Train dataset,Jaccard Index,0.9541882837199729
2,0,Test dataset,Loss,0.06756076775491238
3,0,Test dataset,Jaccard Index,0.9582585282623768
4,1,Train dataset,Loss,0.1350379358704912
5,1,Train dataset,Jaccard Index,0.9655976559473499
6,1,Test dataset,Loss,0.0613117937464267
7,1,Test dataset,Jaccard Index,0.963397029787302
8,2,Train dataset,Loss,0.1350016410135107
9,2,Train dataset,Jaccard Index,0.9668940482618602
10,2,Test dataset,Loss,0.05982835358008742
11,2,Test dataset,Jaccard Index,0.9656879752874374
12,3,Train dataset,Loss,0.12952935522992046
13,3,Train dataset,Jaccard Index,0.9706193252241231
14,3,Test dataset,Loss,0.06057774065993726
15,3,Test dataset,Jaccard Index,0.9650682136416435
16,4,Train dataset,Loss,0.1275004421501127
17,4,Train dataset,Jaccard Index,0.9721938053222552
18,4,Test dataset,Loss,0.06299604312516749
19,4,Test dataset,Jaccard Index,0.9636025577783585
20,5,Train dataset,Loss,0.13197325493238832
21,5,Train dataset,Jaccard Index,0.973184280743882
22,5,Test dataset,Loss,0.06443765782751143
23,5,Test dataset,Jaccard Index,0.9631557911634445
24,6,Train dataset,Loss,0.12100082549126182
25,6,Train dataset,Jaccard Index,0.9769077986887057
26,6,Test dataset,Loss,0.06190675147809088
27,6,Test dataset,Jaccard Index,0.9647298604249954
28,7,Train dataset,Loss,0.1224234210301752
29,7,Train dataset,Jaccard Index,0.9768137874668592
30,7,Test dataset,Loss,0.06030865432694554
31,7,Test dataset,Jaccard Index,0.9660821035504341
32,8,Train dataset,Loss,0.12024193238381926
33,8,Train dataset,Jaccard Index,0.9774538852852773
34,8,Test dataset,Loss,0.057948457542806864
35,8,Test dataset,Jaccard Index,0.968399852514267
36,9,Train dataset,Loss,0.12681607617124846
37,9,Train dataset,Jaccard Index,0.9773859153055164
38,9,Test dataset,Loss,0.07070351555012167
39,9,Test dataset,Jaccard Index,0.9586982131004333
40,10,Train dataset,Loss,0.12468899589151008
41,10,Train dataset,Jaccard Index,0.9761697660842442
42,10,Test dataset,Loss,0.0642143664881587
43,10,Test dataset,Jaccard Index,0.9608042724430561
44,11,Train dataset,Loss,0.11743445063358572
45,11,Train dataset,Jaccard Index,0.977060306289969
46,11,Test dataset,Loss,0.06271216529421508
47,11,Test dataset,Jaccard Index,0.9639791250228882
48,12,Train dataset,Loss,0.11597020386560866
49,12,Train dataset,Jaccard Index,0.9815772540493098
50,12,Test dataset,Loss,0.05460741091519594
51,12,Test dataset,Jaccard Index,0.9698628336191177
52,13,Train dataset,Loss,0.11653716740576917
53,13,Train dataset,Jaccard Index,0.9824680084507215
54,13,Test dataset,Loss,0.06349820364266634
55,13,Test dataset,Jaccard Index,0.9659501574933529
56,14,Train dataset,Loss,0.12131653184317835
57,14,Train dataset,Jaccard Index,0.9824333678097485
58,14,Test dataset,Loss,0.05868874001316726
59,14,Test dataset,Jaccard Index,0.9702529832720757
