,Epoch number,Dataset,Parameter,Result
0,0,Train dataset,Loss,0.7062147855758667
1,0,Train dataset,Jaccard Index,0.36625686287879944
2,0,Test dataset,Loss,0.6938837170600891
3,0,Test dataset,Jaccard Index,0.0
4,1,Train dataset,Loss,0.6803464293479919
5,1,Train dataset,Jaccard Index,0.4255025088787079
6,1,Test dataset,Loss,0.6935979127883911
7,1,Test dataset,Jaccard Index,0.0
8,2,Train dataset,Loss,0.6614167094230652
9,2,Train dataset,Jaccard Index,0.4689277112483978
10,2,Test dataset,Loss,0.6933155059814453
11,2,Test dataset,Jaccard Index,0.2119561731815338
12,3,Train dataset,Loss,0.6461215615272522
13,3,Train dataset,Jaccard Index,0.49611198902130127
14,3,Test dataset,Loss,0.6930915117263794
15,3,Test dataset,Jaccard Index,0.4498879015445709
16,4,Train dataset,Loss,0.632564127445221
17,4,Train dataset,Jaccard Index,0.5169107913970947
18,4,Test dataset,Loss,0.6928966045379639
19,4,Test dataset,Jaccard Index,0.5068660974502563
20,5,Train dataset,Loss,0.6197155117988586
21,5,Train dataset,Jaccard Index,0.5386998653411865
22,5,Test dataset,Loss,0.6927261352539062
23,5,Test dataset,Jaccard Index,0.5244256854057312
24,6,Train dataset,Loss,0.606910765171051
25,6,Train dataset,Jaccard Index,0.5608503818511963
26,6,Test dataset,Loss,0.6925469040870667
27,6,Test dataset,Jaccard Index,0.53468257188797
28,7,Train dataset,Loss,0.5936002731323242
29,7,Train dataset,Jaccard Index,0.583726704120636
30,7,Test dataset,Loss,0.6923500895500183
31,7,Test dataset,Jaccard Index,0.535190761089325
32,8,Train dataset,Loss,0.5796195268630981
33,8,Train dataset,Jaccard Index,0.6074801087379456
34,8,Test dataset,Loss,0.6921372413635254
35,8,Test dataset,Jaccard Index,0.5353459119796753
36,9,Train dataset,Loss,0.5649546384811401
37,9,Train dataset,Jaccard Index,0.6331632733345032
38,9,Test dataset,Loss,0.6918696165084839
39,9,Test dataset,Jaccard Index,0.534849226474762
40,10,Train dataset,Loss,0.5494073629379272
41,10,Train dataset,Jaccard Index,0.6655735373497009
42,10,Test dataset,Loss,0.6915596127510071
43,10,Test dataset,Jaccard Index,0.5336887240409851
44,11,Train dataset,Loss,0.533488929271698
45,11,Train dataset,Jaccard Index,0.6992132663726807
46,11,Test dataset,Loss,0.6911607980728149
47,11,Test dataset,Jaccard Index,0.533142626285553
48,12,Train dataset,Loss,0.5173914432525635
49,12,Train dataset,Jaccard Index,0.7283146977424622
50,12,Test dataset,Loss,0.6906981468200684
51,12,Test dataset,Jaccard Index,0.5318594574928284
52,13,Train dataset,Loss,0.5013628005981445
53,13,Train dataset,Jaccard Index,0.7610156536102295
54,13,Test dataset,Loss,0.6902801990509033
55,13,Test dataset,Jaccard Index,0.5356025099754333
56,14,Train dataset,Loss,0.4859248995780945
57,14,Train dataset,Jaccard Index,0.7940848469734192
58,14,Test dataset,Loss,0.6899277567863464
59,14,Test dataset,Jaccard Index,0.5254825353622437
60,15,Train dataset,Loss,0.47215020656585693
61,15,Train dataset,Jaccard Index,0.8211854696273804
62,15,Test dataset,Loss,0.6896406412124634
63,15,Test dataset,Jaccard Index,0.4998508393764496
64,16,Train dataset,Loss,0.45804381370544434
65,16,Train dataset,Jaccard Index,0.8560374975204468
66,16,Test dataset,Loss,0.6894199848175049
67,16,Test dataset,Jaccard Index,0.4490149915218353
68,17,Train dataset,Loss,0.447150856256485
69,17,Train dataset,Jaccard Index,0.8761219382286072
70,17,Test dataset,Loss,0.689286470413208
71,17,Test dataset,Jaccard Index,0.3691426217556
72,18,Train dataset,Loss,0.43489310145378113
73,18,Train dataset,Jaccard Index,0.8995690941810608
74,18,Test dataset,Loss,0.6894599199295044
75,18,Test dataset,Jaccard Index,0.27375420928001404
76,19,Train dataset,Loss,0.4248320460319519
77,19,Train dataset,Jaccard Index,0.9166827201843262
78,19,Test dataset,Loss,0.6900720596313477
79,19,Test dataset,Jaccard Index,0.1730050891637802
80,20,Train dataset,Loss,0.41567927598953247
81,20,Train dataset,Jaccard Index,0.9320248961448669
82,20,Test dataset,Loss,0.6907953023910522
83,20,Test dataset,Jaccard Index,0.11084218323230743
84,21,Train dataset,Loss,0.40654271841049194
85,21,Train dataset,Jaccard Index,0.9457197189331055
86,21,Test dataset,Loss,0.6914588809013367
87,21,Test dataset,Jaccard Index,0.08119326829910278
88,22,Train dataset,Loss,0.39969557523727417
89,22,Train dataset,Jaccard Index,0.9526311755180359
