,Epoch number,Dataset,Parameter,Result
0,0,Train dataset,Loss,0.46774468232284894
1,0,Train dataset,Jaccard Index,0.7591819809241729
2,0,Test dataset,Loss,0.3015336636453867
3,0,Test dataset,Jaccard Index,0.8762508668005466
4,1,Train dataset,Loss,0.24509126029231332
5,1,Train dataset,Jaccard Index,0.8906040874394503
6,1,Test dataset,Loss,0.20763005036860704
7,1,Test dataset,Jaccard Index,0.8969148695468903
8,2,Train dataset,Loss,0.160545652969317
9,2,Train dataset,Jaccard Index,0.918022314526818
10,2,Test dataset,Loss,0.15504507906734943
11,2,Test dataset,Jaccard Index,0.9178806655108929
12,3,Train dataset,Loss,0.12051484923471104
13,3,Train dataset,Jaccard Index,0.9327908190813932
14,3,Test dataset,Loss,0.13679879484698176
15,3,Test dataset,Jaccard Index,0.9216420724987984
16,4,Train dataset,Loss,0.09756928120147099
17,4,Train dataset,Jaccard Index,0.9428208589553833
18,4,Test dataset,Loss,0.09943121951073408
19,4,Test dataset,Jaccard Index,0.9378147386014462
20,5,Train dataset,Loss,0.07986631962386044
21,5,Train dataset,Jaccard Index,0.9531184321100061
22,5,Test dataset,Loss,0.0955220339819789
23,5,Test dataset,Jaccard Index,0.9378672689199448
24,6,Train dataset,Loss,0.06904787512665445
25,6,Train dataset,Jaccard Index,0.9588988282463767
26,6,Test dataset,Loss,0.08550172508694232
27,6,Test dataset,Jaccard Index,0.9440012909471989
28,7,Train dataset,Loss,0.059317261996594345
29,7,Train dataset,Jaccard Index,0.964840086481788
30,7,Test dataset,Loss,0.07378405402414501
31,7,Test dataset,Jaccard Index,0.9528666585683823
32,8,Train dataset,Loss,0.0543993763286959
33,8,Train dataset,Jaccard Index,0.9669936104254289
34,8,Test dataset,Loss,0.08108198922127485
35,8,Test dataset,Jaccard Index,0.9480348937213421
36,9,Train dataset,Loss,0.0495549588040872
37,9,Train dataset,Jaccard Index,0.9700031990354712
38,9,Test dataset,Loss,0.07163057220168412
39,9,Test dataset,Jaccard Index,0.9548299722373486
40,10,Train dataset,Loss,0.04369443360377442
41,10,Train dataset,Jaccard Index,0.9738798992200332
42,10,Test dataset,Loss,0.08756779646500945
43,10,Test dataset,Jaccard Index,0.9467248134315014
44,11,Train dataset,Loss,0.038808918828991325
45,11,Train dataset,Jaccard Index,0.977268459038301
46,11,Test dataset,Loss,0.07237424654886127
47,11,Test dataset,Jaccard Index,0.9557223506271839
48,12,Train dataset,Loss,0.036435323191637344
49,12,Train dataset,Jaccard Index,0.9785641301761974
50,12,Test dataset,Loss,0.0747097881976515
51,12,Test dataset,Jaccard Index,0.9547758735716343
52,13,Train dataset,Loss,0.03433475162495266
53,13,Train dataset,Jaccard Index,0.9799777534875003
54,13,Test dataset,Loss,0.08149714255705476
55,13,Test dataset,Jaccard Index,0.9515882432460785
56,14,Train dataset,Loss,0.03560634429820559
57,14,Train dataset,Jaccard Index,0.9784920015118339
58,14,Test dataset,Loss,0.08527360646985471
59,14,Test dataset,Jaccard Index,0.9493834227323532
