,Epoch number,Dataset,Parameter,Result
0,0,Train dataset,Loss,0.03589708468114788
1,0,Train dataset,Jaccard Index,0.981788099895824
2,0,Test dataset,Loss,0.05306616344023496
3,0,Test dataset,Jaccard Index,0.9693627469241619
4,1,Train dataset,Loss,0.030783550017936662
5,1,Train dataset,Jaccard Index,0.9838413661176508
6,1,Test dataset,Loss,0.055607377318665385
7,1,Test dataset,Jaccard Index,0.9670291878283024
8,2,Train dataset,Loss,0.027177099714224988
9,2,Train dataset,Jaccard Index,0.9859910710291429
10,2,Test dataset,Loss,0.05684772122185677
11,2,Test dataset,Jaccard Index,0.9687373489141464
12,3,Train dataset,Loss,0.02437312164428559
13,3,Train dataset,Jaccard Index,0.9878136152570898
14,3,Test dataset,Loss,0.05099090514704585
15,3,Test dataset,Jaccard Index,0.9714534096419811
16,4,Train dataset,Loss,0.022395555742762304
17,4,Train dataset,Jaccard Index,0.9890320187265222
18,4,Test dataset,Loss,0.0527796414680779
19,4,Test dataset,Jaccard Index,0.971106082201004
20,5,Train dataset,Loss,0.021282958933575586
21,5,Train dataset,Jaccard Index,0.9897948693145405
22,5,Test dataset,Loss,0.049088379368186
23,5,Test dataset,Jaccard Index,0.9730841554701328
24,6,Train dataset,Loss,0.020616951923478732
25,6,Train dataset,Jaccard Index,0.9902366177602248
26,6,Test dataset,Loss,0.05272344488184899
27,6,Test dataset,Jaccard Index,0.972106009721756
28,7,Train dataset,Loss,0.020979679392820055
29,7,Train dataset,Jaccard Index,0.9897225775501944
30,7,Test dataset,Loss,0.05283899209462106
31,7,Test dataset,Jaccard Index,0.9712468907237053
32,8,Train dataset,Loss,0.020507245138287545
33,8,Train dataset,Jaccard Index,0.9900389714674516
34,8,Test dataset,Loss,0.05385456304065883
35,8,Test dataset,Jaccard Index,0.9705388359725475
36,9,Train dataset,Loss,0.04242335268380967
37,9,Train dataset,Jaccard Index,0.9739374350417744
38,9,Test dataset,Loss,0.08211697265505791
39,9,Test dataset,Jaccard Index,0.9501946121454239
40,10,Train dataset,Loss,0.04248255294832316
41,10,Train dataset,Jaccard Index,0.9726031959056854
42,10,Test dataset,Loss,0.05665365536697209
43,10,Test dataset,Jaccard Index,0.9649512767791748
44,11,Train dataset,Loss,0.029237888905812394
45,11,Train dataset,Jaccard Index,0.9828417377038435
46,11,Test dataset,Loss,0.057823540875688195
47,11,Test dataset,Jaccard Index,0.9658795818686485
48,12,Train dataset,Loss,0.0227237980812788
49,12,Train dataset,Jaccard Index,0.9878243294629183
50,12,Test dataset,Loss,0.05319437221623957
51,12,Test dataset,Jaccard Index,0.9711636491119862
52,13,Train dataset,Loss,0.02024863496084105
53,13,Train dataset,Jaccard Index,0.9899625155058774
54,13,Test dataset,Loss,0.05353770637884736
55,13,Test dataset,Jaccard Index,0.971255648881197
56,14,Train dataset,Loss,0.019155841803347524
57,14,Train dataset,Jaccard Index,0.9909171922640367
58,14,Test dataset,Loss,0.05256855860352516
59,14,Test dataset,Jaccard Index,0.97249561175704
